,AAPL,ABBV,ABT,ACN,ADBE,AGN,AIG,ALL,AMGN,AMT,AMZN,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DD,DHR,DIS,DOW,DUK,EMR,EXC,F,FB,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KMI,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,OXY,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SLB,SO,SPG,T,TGT,TMO,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
5/31/2005,39.7593,,48.24,23.28,33.12,30.06,55.55,58.2,62.58,18.04,35.51,53.85,63.9,46.32,39.1,28.82,23.95,78.02,25.36,2810,47.11,94.11,,49.97,32.2,75.4,107.84,45.38,19.4,54.85,53.78,,55.13,27.44,,27.48,66.47,46.85,9.98,,89.42,107.98,36.48,40.8,,,277.27,97.5,39.35,36.23,75.55,26.96,67.1,35.75,,,44.63,58.3,64.89,57.21,,30.94,32.44,53.75,44.6,76.65,67.14,32.44,48.96,25.8,40.65,14.29,82.2,27.1,12.8,73.11,56.26,27.9,55.15,,,37.27,106.7,54.79,68.37,33.95,68.72,23.38,53.7,26.32,27.64,48.58,66.96,73.65,29.33,,35.38,45.34,60.41,47.23,56.2
4/29/2005,36.06,,49.16,21.7,59.47,30,50.85,56.16,58.21,17.23,32.36,52.7,59.52,45.04,36.24,27.94,25.36,74.96,26,2798,46.96,88.05,,49.79,32.1,70.89,104.85,40.63,17.27,51.58,52,,50.63,26.4,,29.19,62.67,49.5,9.11,,84.95,105.05,36.2,37.11,,,220,106.79,35.37,35.76,76.38,23.52,68.63,35.49,,,43.44,58.47,60.95,52.11,,29.31,32.41,52.7,38.9,76.47,64.99,33.9,52.62,25.3,40.82,11.55,76.81,21.93,11.56,69,55.64,27.17,54.15,,,34.89,101.72,49.52,68.41,32.95,66.07,23.8,46.41,24.98,24.96,94.51,63.93,71.31,27.9,,35.8,43.06,59.94,47.14,57.03
3/31/2005,41.67,,46.62,24.15,67.17,30.73,55.41,54.06,58.21,18.23,34.27,51.37,58.46,44.1,34.51,29.05,25.2,74.93,25.46,2856,44.94,91.44,,52.17,33.78,74.77,107.84,44.18,17.89,52.62,58.31,,53.41,28.73,,28.01,64.93,45.89,11.33,,93.95,107.05,36.06,35.8,,,180.51,109.99,38.24,37.21,91.38,23.23,67.16,34.6,,,41.67,52.1,61.06,57.09,,31.14,33.05,50.95,39.1,85.69,65.39,32.37,57.25,24.17,40.15,10.85,83.31,23.76,12.48,71.17,53.03,26.27,53,,,36.63,101.66,51.66,70.48,31.83,60.58,23.69,50.02,25.29,25.49,95.38,69.7,72.74,28.82,,35.5,44.42,59.8,50.11,59.6
2/28/2005,44.86,,45.99,25.55,61.75,31.74,66.8,53.68,61.61,18.33,35.18,54.15,54.97,46.65,38.65,30.25,22.47,77.61,25.03,3015,47.72,95.05,,52.92,32.46,76.68,110.89,46.59,17.42,49.83,62.08,,54.17,27.94,,26.99,66.32,45.36,12.65,,97.78,105.35,35.2,34.55,,,187.99,108.8,40.02,37.97,92.58,23.99,65.6,36.55,,,42.8,56,59.22,58.78,,33.08,33.45,52.12,41.04,83.94,65.65,31.7,56.47,25.16,79.35,10.7,86.95,28.99,12.95,70.27,53.86,26.29,53.09,,,36.05,99.88,51.81,75.45,32.12,61.96,24.06,50.82,27.46,26.47,91.16,63.45,77.49,29.75,,35.97,42.83,59.38,51.61,63.31
1/31/2005,76.9,,45.02,26.05,56.9,29.83,66.29,50.44,62.24,18.12,43.22,53.35,50.6,46.37,64.96,29.71,22.59,80.3,23.44,2994,49.05,89.1,,52.54,32.19,78.28,92.79,47.27,18.04,46.35,54.4,,54.88,28.63,,26.79,67.24,44.25,13.17,,95.65,103.25,36.13,33.1,,,195.62,107.85,41.26,35.98,93.42,22.45,64.7,37.33,,,41.49,54.24,57.81,56.99,,32.39,33.98,52.49,39.75,84.36,63.83,28.05,55.96,26.28,76.64,11.5,86.63,22.92,13.77,58.38,53.7,24.16,53.23,,,37.24,100.68,54,68.04,33.77,59.3,23.76,50.77,29.94,23.21,88.9,59.6,74.68,30.05,,35.59,42.61,61.3,52.4,51.6
12/31/2004,64.4,,46.65,27,62.74,32.81,65.67,51.72,64.15,18.4,44.29,56.37,51.77,46.99,66.61,33.42,23.59,77.26,25.62,2936,48.18,97.51,,51.16,33.28,84.21,86.83,48.41,19.32,45.07,52.51,,57.41,27.8,,25.33,70.1,44.07,14.64,,98.49,104.6,36.5,34.99,,,192.79,104.04,42.74,35.41,98.58,23.39,63.42,39.01,,,41.64,56.75,55.55,57.59,,32.06,35.61,49.67,40.51,82.07,61.1,32.14,55.52,26.72,74.75,12.33,90.69,23.56,13.72,58.36,52.2,26.89,55.08,,,42.4,103.35,62.36,66.95,33.52,64.67,25.77,51.93,30.19,24.62,88.03,67.25,85.46,31.32,,40.51,38.37,62.15,52.82,51.26
11/30/2004,67.05,,41.96,25.94,60.56,29.05,63.35,50.5,60.04,18.13,39.68,55.71,53.57,46.27,58.68,32.91,23.87,74.56,23.5,2780,44.75,91.55,,45.99,30.04,78.58,90.99,48.6,18.75,45.37,54.6,,56.88,26.88,,25.28,66.82,41.71,14.18,,95.03,108.36,35.36,34.46,,,181.98,104.76,41.75,35.33,94.24,22.38,60.32,37.65,,,39.31,53.33,60.84,55.33,,30.74,34.2,48.05,39,79.59,57.49,28.02,50.75,26.81,70.33,11.38,84.66,19.13,12.74,60.21,49.91,27.77,53.48,,,41.62,97.58,56.26,65.63,32.79,62.08,25.17,51.22,30.25,24.18,82.85,63.44,84.15,29.63,,41.23,38.18,61.77,52.06,51.25
10/29/2004,52.4,,42.63,24.21,56.03,28.03,60.71,48.09,56.8,17.19,34.13,53.07,49.9,44.79,58.16,32.46,19.94,73.5,23.43,2804,44.37,80.54,,44.62,29.5,73.76,84.31,47.94,19.21,43.46,53.06,,55.13,25.22,,24.53,64.05,39.62,13.03,,91.12,102.12,34.12,34.63,,,190.64,98.38,41.08,33.68,89.75,22.26,58.38,38.6,,,40.66,54.91,55.09,56.28,,29.15,33.31,51.11,38.35,77.57,48.46,31.31,51.09,27.97,68.9,9.47,81.31,14.47,12.66,55.83,49.58,28.95,51.18,,,41.6,92.82,52.88,62.94,31.59,58.32,25.26,50.02,29,24.45,72.4,62.97,79.18,28.61,,39.1,35.89,59.72,53.92,49.22
9/30/2004,38.75,,42.36,27.05,49.47,29.46,67.99,47.99,56.81,15.35,40.86,51.46,51.62,43.33,61.17,29.17,22.17,73.49,23.67,2871,44.12,80.45,,45.18,28.24,73.9,82.85,41.51,18.1,42.13,53.64,,51.28,22.55,,22.89,61.89,36.69,14.05,,85.69,102.1,33.58,37.38,,,129.6,93.24,39.2,35.86,85.74,20.06,56.33,39.73,,,40.05,60.05,55.78,54.35,,28.03,31.72,51.9,38.65,79.97,47.04,33,49.3,27.65,68.32,15.42,78.8,14.52,11.28,55.93,48.65,30.6,54.12,,,39.04,93.38,45.46,67.31,29.98,53.63,25.95,45.25,27.02,21.28,73.74,58.6,75.92,28.9,,39.38,35.83,59.63,53.2,48.33
8/31/2004,34.49,,41.69,26.1,45.87,27.54,71.24,47.21,59.29,14.89,38.14,50.02,52.22,44.98,59.33,29.8,20.88,73.09,23.73,2894,46.58,72.7,,54,28.17,67.76,74.43,41.17,18.76,40,97.5,,51.42,22.45,,22.14,62.25,36.85,14.11,,81.99,97.64,32.79,69.13,,,,89.65,36.56,35.98,84.69,21.29,58.1,39.58,,,44.71,63.45,53.78,49.7,,27.02,31.28,49.75,37.25,82.36,48.95,44.97,50.73,27.3,69.2,13.95,75.31,12.46,9.97,51.65,50,32.67,55.97,,,38.05,93.91,43.24,61.8,30.35,55.95,25.79,44.58,26.27,19.54,66.13,57.11,73.05,29.5,,39.25,36.45,58.75,52.67,46.1
7/30/2004,32.34,,39.35,24.63,42.18,25.21,70.65,47.08,56.88,14.46,38.92,50.25,50.75,85.01,60,28.73,23.68,61.95,22.9,2894,44.09,73.49,,53.2,27.4,69.32,78.77,40.71,20.92,41.87,95.65,,50.65,23.09,,21.5,60.7,34.9,14.72,,81.88,98.82,33.25,64.64,,,,88.19,33.72,37.61,87.07,24.38,55.27,37.33,,,43.86,63.72,52.99,48.72,,27.5,30.55,49.67,35.67,82.36,47.6,45.35,49.33,28.49,67.33,20.5,72.71,15.42,10.51,49.27,50,31.96,52.15,,,69.21,93.5,46.99,64.32,29.28,51.61,25.34,43.6,25.72,21.33,62.9,56.34,71.96,28.3,,38.54,36.4,57.41,53.01,46.3
6/30/2004,32.54,,40.76,27.48,46.5,26.9,71.28,46.55,54.57,15.2,54.4,51.38,51.09,84.62,63.25,29.48,26.93,63.83,24.5,2955,46.5,79.44,,58.45,28.1,68.38,76.29,41.18,23.7,42.02,94.11,,51.85,25.49,,20.29,63.55,33.29,15.65,,81.69,99.3,32.4,67,,,,94.16,35.2,36.63,88.15,27.6,55.7,38.77,,,50.48,69.91,52.08,52.55,,26,31.68,48.72,35.85,90.01,50.05,47.5,52.77,28.56,63.95,36,75.75,20.47,11.93,48.41,53.88,34.28,54.44,,,72.98,91.48,43.49,63.51,29.15,51.42,24.25,42.47,30.74,24.18,62.25,59.45,75.17,27.56,,36.19,36.21,57.23,52.76,44.41
5/28/2004,28.06,,41.21,24.61,44.63,37.35,73.3,43.98,54.7,13.83,48.5,50.7,45.8,83.13,62.15,30.07,26.2,63.1,25.27,2972,46.43,75.35,,57.2,28.95,70.06,73.33,37.9,22.37,41.68,90.4,,47.03,23.47,,19.94,59.7,33.3,14.85,,73.58,95.63,31.12,65.33,,,,93.91,35.92,33.7,88.59,28.55,55.71,36.84,,,51.35,73.67,49.54,53.57,,26.4,29.86,47.9,35.55,84.56,47.97,47.3,53.51,26.23,63.75,32.92,71.15,23.45,11.4,44.2,53.37,35.34,107.82,,,67.07,84.61,40.6,57.17,28.92,51.57,23.7,44.7,30.78,26.11,65.25,58.32,71.72,28.1,,34.58,35.01,58.8,55.73,43.25
4/30/2004,25.78,,44.02,23.77,41.5,35.61,71.65,45.9,56.41,12.45,43.6,48.95,42.69,80.49,59,29.14,24.27,62.2,25.1,3119,48.09,77.73,,57.88,30.16,65.53,71.3,37.5,20.91,38.63,91.5,,92.52,23.03,,21.06,60.22,66.94,15.36,,71.91,93.62,29.95,60.94,,,,96.75,35.19,34.58,88.17,25.73,54.03,37.6,,,50.57,73.81,47.7,52.06,,27.23,32.91,50.46,34.5,86.48,55.38,47,51.39,26.13,63.62,25.36,71.95,20.52,11.25,47.2,54.49,35.76,105.75,,,62.46,86.26,38.92,58.53,28.76,48.21,24.9,43.37,29.2,25.1,61.48,58.93,70.15,25.64,,37.74,34.48,56.46,57,42.55
3/31/2004,27.04,,41.1,24.8,39.3,42.79,71.35,45.46,58.15,11.35,43.28,51.85,41.07,80.98,55.6,31.5,26.96,61.17,24.23,3111,51.7,79.07,,55.1,28.76,75.43,69.81,37.61,23.57,35.3,87.78,,93.37,24.99,,22.6,59.92,68.87,13.57,,75.16,89.33,30.52,55.45,,,,104.35,37.36,33.85,91.84,27.2,50.72,41.95,,,50.3,66.9,45.64,56.13,,28.57,32.01,47.75,35.68,81.87,54.45,44.19,57.3,24.93,66.85,34.12,77.87,26.4,12,46.05,53.85,35.05,104.88,,,66.29,86.3,37.87,63.85,30.5,58.44,24.54,45.04,28.28,29.22,64.44,59.82,69.84,27.65,,36.54,32.95,56.67,59.69,41.59
2/27/2004,23.92,,42.8,23.1,37.25,45.92,74,45.63,63.529,11.05,43.01,53.42,43.37,81.92,55.45,33,23.02,59.5,27.82,3133,50.26,75.75,,55.45,29.95,70.72,68.87,38.86,23.16,37.5,88.35,,89.63,26.53,,21.96,62.48,67.14,13.75,,68.68,92.12,32.52,54.27,,,,105.87,36.31,35.05,96.5,29.2,53.91,41.02,,,49.96,73.94,46.28,56,,28.3,33.79,46.9,35.15,78.02,57.55,48.08,59.76,26.53,65.65,34.4,73.25,22.25,12.87,44.4,51.9,36.65,102.51,,,63.09,92.11,37.4,64.49,30.32,54.49,24.01,43.96,28.07,30.65,62,63.64,70.63,28.53,,38.33,35.66,57.35,59.56,42.17
1/30/2004,22.56,,43.08,23.67,38.3,46.51,69.45,45.46,64.66,10.99,50.4,51.84,41.75,81.46,42.98,31.75,19.13,58.02,28.05,2981,49.48,78.13,,51.27,34.1,71.08,65.88,36.94,25.71,35.72,86.35,,91.55,24,,21.73,63.9,66.98,14.54,,67.28,91.43,33.63,54.81,,,,99.55,35.47,36.12,99.23,30.52,53.42,38.89,,,49.24,68.04,48.62,53.55,,25.74,32.21,49.22,33.55,79.09,55.59,47.6,58.21,27.65,65.75,73.41,69.66,22.25,13.86,44.05,47.26,36.63,101.08,,,58.61,95.54,36.61,61.18,29.8,52.05,25.5,37.96,27.87,31.35,60.88,64.4,71.27,28.27,,36.86,34.55,57.41,53.85,40.79
12/31/2003,21.37,,46.6,26.32,39.08,46,66.28,43.02,61.79,10.82,52.62,48.23,42.14,80.43,36.7,33.12,17.9,53.11,28.6,2815,48.54,83.02,,50.05,32.79,61.29,65.57,37.18,24.23,36.12,86.39,,91.75,23.33,,20.45,64.75,66.36,16,,67.5,90.39,30.98,58.28,,,,98.73,35.49,33.43,92.68,32.05,51.66,36.73,,,50.75,70.33,51.4,55.39,,24.83,32.22,48.61,33.67,85.03,54.42,46.2,57.87,27.37,65.42,54.69,68.46,23.2,13.23,42.24,46.62,35.33,99.88,,,53.93,94.77,33.16,54.72,30.25,46.34,26.07,38.4,25.2,29.38,58.18,69.48,74.55,29.78,,35.08,36.38,58.89,53.05,41
11/28/2003,20.91,,44.2,24.9,41.31,47.14,57.95,40.38,57.62,11.38,53.97,45.71,38.39,75.43,38.18,30.68,19.05,50.95,26.35,2801,47.03,76.05,,52.5,31.6,59.72,56.74,35.82,22.7,37.46,75.1,,83.2,23.09,,18.04,61.04,61.82,13.2,,72.7,80.87,28.67,58.68,,,,96.08,36.76,29.69,90.54,33.54,49.3,35.4,,,46.5,68.8,45.94,58.3,,25.63,31.67,45.2,32.69,79.04,52,40.6,55.28,25.71,63.55,49,67.25,21.23,12.02,36.68,48.12,33.57,96.24,,,44.55,85.7,32.17,46.92,29.27,47.45,23.28,38.72,23.9,29.76,53.9,63.68,72.77,27.71,,32.84,36.81,57.33,55.64,36.2
10/31/2003,22.89,,42.62,23.4,43.76,39.27,60.83,39.5,61.76,11.6,54.43,46.93,38.49,75.73,35.14,31.19,28.06,51.35,25.37,2592.5,47.4,73.28,,53.19,33.87,60.8,57.15,35.45,20.93,35.18,74.3,,82.85,22.64,,18.15,56.75,63.45,12.13,,75.76,83.7,29.01,54.55,,,,93.9,37.07,30.61,89.48,32.95,50.33,35.9,,,46.4,66.62,46.36,58.93,,25,29.1,45.57,31.4,78.87,46.5,44.25,54.87,26.14,63.74,57.22,63.9,17.64,11.97,35.26,47.82,31.6,98.29,,,47.49,84.69,31.59,46.97,29.8,45.08,23.98,39.74,21.98,28.92,50.88,62.6,72.52,27.22,,33.6,34.82,56.32,58.95,36.58
9/30/2003,20.72,,42.55,22.34,39.39,41.69,57.7,36.53,64.52,10.15,48.43,45.06,34.33,78.04,33.29,29.11,29.04,49,25.66,2496,45.51,68.84,,55.89,30.82,57.04,54.75,31.15,19.59,31.06,71.45,,73.86,20.17,,17.81,52.65,63.5,10.77,,64.43,78.06,29.81,56.04,,,,83.9,31.85,26.35,88.33,27.52,49.52,34.33,,,42.96,59.4,46.15,51.9,,23.54,29.5,46.92,28.05,69.07,43.8,50.62,50.46,27.8,63.2,33.56,60.82,15.97,11.25,35.23,45.83,30.38,92.82,,,41.67,77.28,28.8,48.4,29.35,43.58,22.25,37.63,21.7,22.8,50.32,58.17,63.8,23.99,,32.44,30.64,51.5,55.85,36.6
8/29/2003,22.61,,40.3,21.16,38.83,41.1,59.57,35.75,65.94,11.38,46.32,45.05,37.39,79.25,34.72,29.42,39.49,45.47,25.37,2530,43.35,71.83,,55.28,29.76,53.4,55.84,32.25,19.14,32.6,72.87,,77.25,20.5,,17.08,55.76,58.9,11.56,,67.1,86.11,29.57,66.68,,,,88.49,32.16,28.99,82.01,28.59,49.58,34.22,,,43.52,66.53,51.23,54.86,,22.42,29.7,49.58,28.42,142.47,41.22,50.32,48.79,26.52,61.86,33.33,56.98,18.17,12.83,34.33,44.54,29.92,87.29,,,41.33,80.25,28.39,49.51,28.38,42.71,22.46,40.6,22.79,23.85,49.43,60.94,62.76,23.9,,35.32,32.57,50.14,59.17,37.7
7/31/2003,21.08,,39.25,19.42,32.73,39.94,64.2,38.03,69.43,9.1,41.64,44.17,33.12,82.57,33.76,30.12,32.84,45.17,26.2,2403,44.8,67.47,,54.6,30.48,47.91,52.34,36.99,19.49,29.99,72.11,,72.2,21.92,,17.55,53.7,57.47,11.06,,64.39,79.34,28.44,68.23,,,,87.14,31.2,28.28,81.25,24.89,51.79,35.05,,,44.97,65.84,52.34,47.56,,23.01,27.81,51.5,27.72,140.2,40.01,55.28,47.44,26.41,61.67,26.2,51.74,19.09,11.99,32.69,46.07,33.36,87.87,,,37.48,75.23,27.33,45.07,28.44,42.35,23.36,38.32,22.25,18.87,52.09,60.94,63.08,24.52,,35,29.92,50.53,55.91,35.58
6/30/2003,19.06,,43.76,18.09,32.07,40.37,55.18,35.65,65.94,8.85,36.32,41.81,34.32,79.03,33.96,28.75,22.32,45.04,27.15,2430,42.8,55.66,,57.95,30.18,49.18,54.8,36.6,16.79,28.03,72.2,,68.05,19.75,,19.95,51.1,59.81,10.99,,62.03,72.5,28.68,55.55,,,,83.75,33.12,26.85,82.5,20.81,51.7,34.18,,,46.41,68.97,47.57,42.95,,22.06,32.55,47.97,28.32,128.98,45.44,60.55,42.75,25.64,66.85,25.55,53.49,22.91,12.01,33.55,44.5,34.15,89.18,,,35.94,70.83,24.55,47.57,31.16,39.03,25.55,37.84,21.02,17.6,50.25,58.02,63.7,24.5,,39.45,30.1,50.4,53.67,35.91
5/30/2003,17.95,,44.55,17.52,35.32,37.02,57.88,35.99,64.74,8.96,35.89,41.66,30.67,74.2,38.22,28.94,4.1,45.39,25.6,2374,41.02,52.15,,59.62,30.01,48.17,53.97,37.25,16.41,26.1,70.94,,66.92,19.65,,19.38,52.3,57.3,10.5,,63.98,66.82,28.7,52.26,,,,81.5,32.49,26.2,88.04,20.82,54.35,32.86,,,45.57,59.77,46.42,42.26,,18.73,32.4,48.73,27.97,126.47,41.3,55.58,45.75,24.61,66.47,22.45,55.99,26.17,13.01,33.74,44.2,31.02,91.82,,,33.55,68.25,24.67,48.62,31.48,37.62,25.46,36.63,21.1,20.5,95.94,60.99,62.43,23.7,,37.85,30.79,48.3,52.61,36.4
4/30/2003,14.22,,40.63,16.02,34.53,29.07,57.95,37.79,61.3,6.64,28.69,37.86,27.28,74.05,32.75,26.45,2.22,45.48,25.54,2332,39.25,52.6,,57.17,31.9,41.87,50.3,34.61,15,24.21,62.81,,68.98,18.66,,17.59,50.7,53.04,10.3,,59.88,62.07,29.45,46.14,,,,75.9,28.13,23.6,84.9,18.37,56.36,29.35,,,40.4,63.82,50.05,43.89,,17.1,30.9,47.74,28.73,126.04,30.76,58.18,44.75,25.57,60.87,22.8,53.53,14.27,11.88,29.85,43.28,30.75,89.85,,,31.88,61.81,23.51,41.93,29.09,36.72,23.36,33.44,18.17,18.49,92.13,59.52,62.12,22.15,,37.38,30.86,48.26,56.32,35.2
3/31/2003,14.14,,37.61,15.5,30.83,28.77,49.45,33.17,57.55,5.52,26.03,33.23,25.06,66.84,34.22,20.5,1.64,43.54,21.13,2137,34.45,49.2,,54.44,28.59,30.01,53.6,30.03,12.98,23.85,64.65,,65.76,17.02,,14.54,45.35,50.41,7.52,,55.07,55.07,25.5,41.99,,,,68.08,24.36,21.36,78.43,16.28,57.87,24.45,,,40.48,57.15,47.55,40.81,,14.46,28.2,45.12,26.38,130,29.96,54.78,38.35,24.21,58.93,20.35,51.42,12.88,10.85,29.96,40,31.16,89.05,,,36,57.78,25.76,38.01,28.44,35.83,20.06,29.26,18.1,16.37,91.67,55,57,18.98,,35.35,29.48,44.99,52.03,34.95
2/28/2003,15.01,,35.62,15.34,27.5,30.93,49.29,31.63,54.64,4.69,22.01,33.58,27.56,69.24,28.75,22.78,1.32,41.6,23.3,2065,33.34,47,,50.31,29.22,30.97,50.7,30.52,13.98,24.9,64.17,,65.02,17.06,,13.51,47.07,49.15,8.32,,51.4,59.26,24.05,34,,,,69.45,23.45,22.89,77.95,17.26,52.45,22.68,,,40.22,56.56,45.72,39.3,,13.61,29.61,44.7,26.17,125.4,38.65,52.75,36.85,23.7,56.01,17.11,46.37,12.62,11.96,29.9,38.32,29.82,81.86,,,34.58,58.58,23.45,41.61,28.21,34.64,20.8,28.65,17.6,16.75,82.9,55.19,57.54,20.92,,34.58,28.14,45.35,48.06,34.02
1/31/2003,14.36,,38.12,16.55,26.42,30.28,54.12,35.19,50.96,5.08,21.85,35.53,31.59,70.05,32.08,25.3,1.3,42.25,23.59,2224,34.38,43.98,,50.91,26.63,31.05,48.19,28.87,13.37,22.62,64.4,,61.41,17.5,,17.03,46.93,50.93,9.11,,52.6,66.14,23.14,34.9,,,,68.1,20.9,24.44,78.2,15.7,53.61,23.04,,,40.46,60.24,51.05,34.18,,14.24,31.85,44.92,26.77,124.6,37.87,55.39,37.9,47.46,58.39,13.2,44.54,10.32,12.03,29.21,40.48,30.36,85.57,,,37.66,63.58,22.72,37.7,28.17,32.7,24.44,28.21,18.17,15.9,87.9,57.06,60.33,21.1,,38.28,29,47.37,47.8,34.15
12/31/2002,14.33,,40,17.99,24.8,28.27,57.85,36.99,48.34,3.53,18.89,35.35,32.99,69.57,33.17,23.96,1.6,39.4,23.15,2423,35.19,45.72,,52.43,23.57,29.72,48.39,28.06,13.1,24.97,66.48,,65.7,16.31,,19.54,50.85,52.77,9.3,,54.22,79.37,24.35,34,,,,68.1,24.02,24,77.5,15.57,53.71,24,,,43.84,63.5,57.75,37.5,,16.08,38.93,45.6,27.04,123.3,40.53,56.61,39.92,51.7,60.13,11.01,44.47,11.51,10.8,28.45,42.22,30.57,85.94,,,36.39,61.94,20.38,42.09,28.39,34.07,27.11,30,20.12,15.01,83.5,59.87,63.08,21.22,,38.75,29.19,46.87,50.51,34.94
11/29/2002,15.5,,43.78,19.25,29.53,29.99,65.15,39.03,47.2,3.89,23.35,38.93,34.05,70.08,32.81,30.35,1.75,40.01,26.5,2411,38.88,49.9,,51.39,23.44,33.8,47.81,32.3,14.92,26.88,67.03,,62.84,19.82,,19.74,52.15,50.19,11.38,,52.57,81.45,27.12,39.42,,,,78.87,26.4,26.01,86.92,20.88,57.02,25.17,,,45.64,68.3,52.2,41.5,,18.5,37.56,46.75,26.84,129.9,37.72,59.41,45.24,57.68,58.8,10.85,44.78,17.13,12.15,27.85,42.48,31.53,84.53,,,41.22,62.47,21.74,44.25,26.16,33.72,28.5,34.78,19.59,20.01,81.45,57.9,63.36,21.9,,41.88,28.79,46.21,53.9,34.8
10/31/2002,16.07,,41.87,16.88,23.64,27.49,62.55,39.78,46.58,1.41,19.35,36.37,29.75,69.8,46.02,26,2.21,35.72,24.61,2460,36.95,40.85,,54.98,23.44,30.47,48.5,33.87,11.18,27.73,67.63,,57.85,16.7,,20.49,48.18,50.4,8.46,,53.19,79.13,25.25,34.74,,,,71.6,28.88,23.94,78.94,17.31,58.75,20.75,,,46.48,55.5,57.9,41.73,,18.11,39.5,44.8,23.88,126.9,40.75,54.24,38.92,53.47,58.98,8.971,47.19,11.9,10.19,28.53,44.1,31.77,88.45,,,34.52,61.67,23.84,40.11,29.7,34.15,25.66,30.12,18.39,15.86,90.95,59.05,60.01,21.09,,37.76,33.75,50.47,53.55,33.66
9/30/2002,14.5,,40.4,14.28,19.1,24.51,54.7,35.55,41.7,1.59,15.93,31.18,34.13,63.8,41.52,28.74,1.46,41.42,23.8,2465,29.65,37.22,,53.95,21.33,34.92,46.24,32.37,10.48,25.35,69.25,,56.85,15.14,,19.55,43.94,47.5,9.8,,50.07,81.33,24.65,33.53,,,,66.03,26.1,21.66,58.31,13.89,54.08,18.99,,,47.96,55.34,64.67,41.4,,17.66,36.46,42.12,22.76,110,38.8,45.71,33.88,43.74,53.8,9.7,43.18,8.56,7.86,28.38,36.95,29.02,89.38,,,27.62,56.49,20.64,38.46,28.78,35.73,20.1,29.52,16.13,14.77,87.22,57.87,62.53,18.58,,27.44,30.76,48.16,49.24,31.9
8/30/2002,14.75,,40.03,16.45,20.1,23.32,62.8,37.22,45.03,2.46,14.94,36.06,37.07,70.08,40.18,35.15,2.35,44.25,24.95,2440,32.75,43.64,,54.55,24.56,35.67,52.58,33.41,13.82,29.39,76.63,,60.15,15.68,,26.83,48.78,46.82,11.77,,47.35,78.64,30.15,32.08,,,,77.3,32.93,29.95,75.38,16.67,54.31,26.4,,,51,58.05,63.32,41.38,,23.76,39.77,41.18,26.92,125,50,50.52,42.72,49.08,57.08,13.11,43.18,10.11,9.59,29.7,39.55,33.08,88.65,,,27.71,59.39,20.1,43.21,28.96,35.59,24.74,34.2,17.78,19.7,88.35,60.55,63.91,21.49,,31,34.75,52.19,53.48,35.45
7/31/2002,15.26,,41.41,16.5,23.96,21.07,63.92,38.01,45.64,2.24,14.46,35.26,41.52,66.5,44.59,32.02,1.85,41.95,23.43,2287,33.54,44.7,,51.35,21.72,31.7,51.75,34.87,13.19,28.6,75,,62.05,17.73,,25.49,50.95,49.05,13.47,,50.95,80.92,32.2,30.47,,,,73.15,30.88,32.36,70.4,18.79,53,24.96,,,49.94,58.42,64.11,37.85,,24.75,37,40.4,28.19,125.8,46.05,49.6,40.35,47.98,56.65,13.35,49.29,11.07,10.01,27.09,42.94,32.35,88.99,,,27.48,69.5,19.63,42.92,28.78,35.99,27.66,33.35,16.98,23.15,87.66,58.67,65.34,21.39,,33,35.33,50.86,49.18,36.76
6/28/2002,17.72,,37.65,19,28.5,25.27,68.23,36.98,41.88,3.45,16.25,36.32,45,70.36,35.45,33.75,2.79,44.3,25.7,2234,38.75,48.95,,50.05,24.2,61.05,58.88,38.62,13.95,30.6,88.5,,66.35,18.9,,31.1,53.51,52.3,16,,53.4,106.4,29.05,32.88,,,,73.35,36.73,35.23,72,18.27,52.26,33.92,,,56,56.4,69.5,45.4,,28.45,40.95,42.85,28.8,123,43.68,50.64,43.08,54.7,59.99,13.99,53.65,17.18,9.47,29.99,48.2,35,89.3,,,27.49,67.9,24.85,46.5,27.4,36.84,30.5,38.1,16.5,23.7,91.55,63.28,61.75,23.35,,40.15,38.63,50.06,55.01,40.92
5/31/2002,23.3,,47.5,20.85,36.1,26,66.97,38.48,47.63,3.8,18.23,42.51,42.65,75.81,42.89,36.3,4.03,43,31.12,2472,43.18,52.27,,54.2,29.66,62.44,57.55,39.27,15.78,32.03,87.25,,69.62,22.91,,32.01,57.85,53.49,17.65,,53.95,100.6,31.14,35.66,,,,75.45,41.69,39.2,80.45,27.62,61.35,35.95,,,55.56,64.7,62.05,47.16,,29.94,43.01,46.15,33.23,125.4,57.25,57.1,45.46,50.91,62.99,,53.75,33.46,7.9,29.86,51.98,34.6,89.55,,,31.64,68.87,24.28,51.64,27,34.07,34.29,41.45,18.36,28.67,90.8,61.24,60.38,23.65,,43,38.26,52.4,54.1,39.93
